0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:40:00 +0100] "GET /matesclass/resources/images/fondo_mates.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:40:01 +0100] "POST /matesclass/pages/login.jsf HTTP/1.1" 200 2097
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:40:04 +0100] "GET /matesclass/pages/listadopartidas.jsf HTTP/1.1" 200 2748
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:40:05 +0100] "GET /matesclass/pages/nuevapartida.jsf HTTP/1.1" 200 2334
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:41:12 +0100] "GET /matesclass HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:41:12 +0100] "GET /matesclass/pages/login.jsf HTTP/1.1" 200 3345
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:41:12 +0100] "GET /matesclass/javax.faces.resource/favicon.ico.jsf HTTP/1.1" 200 5686
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:41:15 +0100] "POST /matesclass/pages/login.jsf HTTP/1.1" 200 2124
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:41:17 +0100] "GET /matesclass/pages/listadopartidas.jsf HTTP/1.1" 200 2775
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:41:18 +0100] "GET /matesclass/pages/nuevapartida.jsf HTTP/1.1" 200 2360
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:41:19 +0100] "GET /matesclass/pages/listadopartidas.jsf HTTP/1.1" 200 2774
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:41:19 +0100] "GET /matesclass/pages/nuevapartida.jsf HTTP/1.1" 200 2361
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:41:21 +0100] "GET /matesclass/pages/listadopartidas.jsf HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:41:22 +0100] "GET /matesclass/pages/nuevapartida.jsf HTTP/1.1" 200 2362
0:0:0:0:0:0:0:1 - - [12/Nov/2015:23:40:33 +0100] "GET /matesclass/pages/listadopartidas.jsf HTTP/1.1" 200 2775
0:0:0:0:0:0:0:1 - - [12/Nov/2015:23:40:33 +0100] "GET /matesclass/pages/nuevapartida.jsf HTTP/1.1" 200 2361
0:0:0:0:0:0:0:1 - - [12/Nov/2015:23:40:34 +0100] "GET /matesclass/pages/listadopartidas.jsf HTTP/1.1" 200 2774
0:0:0:0:0:0:0:1 - - [12/Nov/2015:23:40:35 +0100] "GET /matesclass/pages/nuevapartida.jsf HTTP/1.1" 200 2358
0:0:0:0:0:0:0:1 - - [12/Nov/2015:23:45:08 +0100] "GET /matesclass/pages/listadopartidas.jsf HTTP/1.1" 200 2774
0:0:0:0:0:0:0:1 - - [12/Nov/2015:23:45:09 +0100] "GET /matesclass/pages/nuevapartida.jsf HTTP/1.1" 200 2362
0:0:0:0:0:0:0:1 - - [12/Nov/2015:23:45:09 +0100] "GET /matesclass/pages/listadopartidas.jsf HTTP/1.1" 200 2774
0:0:0:0:0:0:0:1 - - [12/Nov/2015:23:45:10 +0100] "GET /matesclass/pages/nuevapartida.jsf HTTP/1.1" 200 2360
0:0:0:0:0:0:0:1 - - [12/Nov/2015:23:45:10 +0100] "GET /matesclass/pages/listadopartidas.jsf HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [12/Nov/2015:23:45:11 +0100] "GET /matesclass/pages/listadopartidas.jsf HTTP/1.1" 200 2774
0:0:0:0:0:0:0:1 - - [12/Nov/2015:23:45:11 +0100] "GET /matesclass/pages/nuevapartida.jsf HTTP/1.1" 200 2361
0:0:0:0:0:0:0:1 - - [12/Nov/2015:23:45:12 +0100] "GET /matesclass/pages/listadopartidas.jsf HTTP/1.1" 200 2775
0:0:0:0:0:0:0:1 - - [12/Nov/2015:23:45:12 +0100] "GET /matesclass/pages/listadopartidas.jsf HTTP/1.1" 200 2774
0:0:0:0:0:0:0:1 - - [12/Nov/2015:23:45:13 +0100] "GET /matesclass/pages/nuevapartida.jsf HTTP/1.1" 200 2361
0:0:0:0:0:0:0:1 - - [12/Nov/2015:23:45:13 +0100] "GET /matesclass/pages/nuevapartida.jsf HTTP/1.1" 200 2360
0:0:0:0:0:0:0:1 - - [12/Nov/2015:23:45:13 +0100] "GET /matesclass/pages/listadopartidas.jsf HTTP/1.1" 200 2774
0:0:0:0:0:0:0:1 - - [12/Nov/2015:23:45:14 +0100] "GET /matesclass/pages/listadopartidas.jsf HTTP/1.1" 200 2775
0:0:0:0:0:0:0:1 - - [12/Nov/2015:23:45:14 +0100] "GET /matesclass/pages/nuevapartida.jsf HTTP/1.1" 200 2361
0:0:0:0:0:0:0:1 - - [12/Nov/2015:23:45:15 +0100] "GET /matesclass/pages/listadopartidas.jsf HTTP/1.1" 200 2774
0:0:0:0:0:0:0:1 - - [12/Nov/2015:23:45:15 +0100] "GET /matesclass/pages/nuevapartida.jsf HTTP/1.1" 200 2360
0:0:0:0:0:0:0:1 - - [12/Nov/2015:23:45:15 +0100] "GET /matesclass/pages/listadopartidas.jsf HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [12/Nov/2015:23:45:15 +0100] "GET /matesclass/pages/nuevapartida.jsf HTTP/1.1" 200 2361
0:0:0:0:0:0:0:1 - - [12/Nov/2015:23:45:16 +0100] "GET /matesclass/pages/listadopartidas.jsf HTTP/1.1" 200 2773
